timestamps,TP9,AF7,AF8,TP10
1669629472.016,-455.566,282.715,485.840,242.188
1669629472.020,849.609,-779.785,-806.641,-792.480
1669629472.024,809.082,140.625,123.047,153.809
1669629472.027,-500.488,-1000.000,-1000.000,-1000.000
1669629472.031,-1000.000,-1000.000,-1000.000,-1000.000
1669629472.035,-587.402,-1.465,86.426,-3.418
1669629472.039,652.832,-780.762,-800.781,-795.898
1669629472.043,988.281,248.535,239.746,251.465
1669629472.043,-247.559,-984.863,-979.004,-987.793
1669629472.047,-1000.000,-1000.000,-1000.000,-1000.000
1669629472.051,-708.984,-191.406,-238.770,-171.387
1669629472.055,455.078,-829.590,-829.590,-829.102
1669629472.059,-907.227,472.656,322.754,448.242
1669629472.063,-52.734,-890.625,-975.098,-888.672
1669629472.067,-1000.000,-1000.000,-1000.000,-1000.000
1669629472.070,-818.848,-228.516,-252.441,-233.887
1669629472.074,269.531,-905.273,-881.836,-898.438
1669629472.078,-854.004,735.352,603.027,693.359
1669629472.082,107.422,-626.465,-749.023,-660.156
1669629472.086,-1000.000,-1000.000,-1000.000,-1000.000
1669629472.088,-898.438,-248.047,-207.031,-313.965
1669629472.092,156.250,-999.512,995.605,982.910
1669629472.096,-840.332,979.492,-997.559,953.613
1669629472.100,231.934,-244.629,-151.367,-302.246
1669629472.104,-1000.000,-1000.000,-1000.000,-1000.000
1669629472.108,-1000.000,-388.672,-458.984,-434.082
1669629472.112,-35.645,901.367,858.398,854.980
1669629472.115,-872.070,-911.133,-918.457,-914.062
1669629472.119,401.855,-1.953,-70.312,-41.992
1669629472.123,-901.855,-1000.000,-1000.000,-1000.000
1669629472.127,-1000.000,-651.855,-660.645,-664.062
1669629472.131,-197.754,685.547,697.266,632.812
1669629472.133,-950.684,-834.961,-854.492,-835.449
1669629472.137,603.516,145.020,-1.465,125.488
1669629472.141,-708.008,-1000.000,-1000.000,-1000.000
1669629472.145,-1000.000,-935.059,-804.199,-898.926
1669629472.149,-389.160,342.285,503.418,346.680
1669629472.153,892.090,-784.668,-810.059,-797.363
1669629472.157,791.992,143.066,108.887,153.320
1669629472.160,-506.836,-1000.000,-1000.000,-1000.000
1669629472.164,-1000.000,-1000.000,-984.375,-1000.000
1669629472.168,-569.336,51.270,174.805,62.500
1669629472.172,684.570,-776.367,-792.969,-790.527
1669629472.176,958.984,212.402,199.707,238.281
1669629472.179,-297.363,-997.070,-991.699,-992.676
1669629472.183,-1000.000,-1000.000,-1000.000,-1000.000
1669629472.187,-700.684,-170.898,-210.938,-137.695
1669629472.191,478.516,-821.289,-826.660,-822.266
1669629472.195,-926.270,442.383,311.523,437.500
1669629472.199,-97.168,-904.297,-976.562,-893.555
