timestamps,TP9,AF7,AF8,TP10
1669195275.712,-1000.000,-798.828,-821.289,-511.719
1669195275.716,-274.902,598.145,610.352,-111.816
1669195275.720,-984.375,-880.371,-957.520,480.469
1669195275.737,824.707,-237.305,-457.520,456.055
1669195275.741,-592.773,-1000.000,-1000.000,-279.785
1669195275.745,-1000.000,-839.355,-834.961,-538.086
1669195275.749,-544.922,519.043,533.203,-176.758
1669195275.753,889.160,-824.707,-864.746,430.664
1669195275.757,890.625,79.102,-84.961,538.086
1669195275.761,-585.449,-1000.000,-1000.000,-169.434
1669195275.764,-1000.000,-871.582,-841.797,-530.273
1669195275.768,-744.629,501.465,504.883,-238.770
1669195275.772,736.816,-812.988,-826.172,365.723
1669195275.776,951.660,422.852,543.945,584.473
1669195275.780,-574.707,-943.359,-885.742,-83.008
1669195275.767,-1000.000,-989.258,-987.793,-521.973
1669195275.771,-834.961,402.832,445.801,-279.297
1669195275.775,598.633,-826.172,-829.102,289.551
1669195275.779,-946.777,645.508,623.535,603.516
1669195275.783,-437.012,-762.207,-773.438,27.344
1669195275.787,-1000.000,-1000.000,-1000.000,-505.859
1669195275.791,-845.703,207.031,136.719,-352.051
1669195275.794,538.574,-860.352,-836.914,196.777
1669195275.798,-865.234,770.020,658.691,595.703
1669195275.802,-223.633,-601.074,-747.070,96.680
1669195275.806,-1000.000,-1000.000,-1000.000,-509.766
1669195275.810,-872.559,-86.426,-8.789,-430.664
1669195275.827,458.496,-929.688,-891.602,104.004
1669195275.831,-811.035,824.707,766.113,611.328
1669195275.835,121.582,-551.270,-628.418,217.285
1669195275.839,-1000.000,-1000.000,-1000.000,-462.402
1669195275.843,-976.074,-445.312,-195.801,-472.656
1669195275.847,312.988,942.383,-966.309,18.555
1669195275.851,-797.852,884.277,855.957,567.383
1669195275.854,460.938,-556.641,-529.297,285.645
1669195275.858,-877.441,-1000.000,-1000.000,-413.574
1669195275.862,-1000.000,-689.941,-543.457,-489.258
1669195275.866,98.633,764.648,836.426,-37.598
1669195275.870,-848.145,-995.117,968.262,556.641
1669195275.887,660.645,-456.055,-473.145,396.484
1669195275.891,-720.215,-1000.000,-1000.000,-346.191
1669195275.895,-1000.000,-795.410,-802.734,-517.090
